lat,lon
41.83691,-87.68475
22,-79.5
14.79654,120.27669
14.79654,120.27669
14.79654,120.27669
32.18403,-86.58025
11.13,122.53
-20.44278,-54.64639
40.4165,-3.70256
40.4165,-3.70256
40.4165,-3.70256
40.4165,-3.70256
31.09502,-85.83898
40.4165,-3.70256
40.4165,-3.70256
40.4165,-3.70256
40.4165,-3.70256
40.4165,-3.70256
40.4165,-3.70256
40.4165,-3.70256
40.4165,-3.70256
40.4165,-3.70256
40.4165,-3.70256
40.4165,-3.70256
50.59009,-91.19085
40.4165,-3.70256
40.4165,-3.70256
40.4165,-3.70256
40.4165,-3.70256
50.59009,-91.19085
40.4165,-3.70256
40.4165,-3.70256
40.4165,-3.70256
40.4165,-3.70256
40.4165,-3.70256
40.4165,-3.70256
40.4165,-3.70256
40.4165,-3.70256
14.79654,120.27669
40.4165,-3.70256
40.4165,-3.70256
40.4165,-3.70256
40.4165,-3.70256
40.4165,-3.70256
40.4165,-3.70256
40.4165,-3.70256
40.4165,-3.70256
40.4165,-3.70256
40.4165,-3.70256
40.4165,-3.70256
40.4165,-3.70256
40.4165,-3.70256
40.4165,-3.70256
40.4165,-3.70256
40.4165,-3.70256
40.4165,-3.70256
40.4165,-3.70256
40.4165,-3.70256
40.4165,-3.70256
40.4165,-3.70256
40.4165,-3.70256
40.4165,-3.70256
40.4165,-3.70256
40.4165,-3.70256
40.4165,-3.70256
40.4165,-3.70256
40.4165,-3.70256
40.4165,-3.70256
40.4165,-3.70256
6.924,158.162
40.4165,-3.70256
40.4165,-3.70256
40.4165,-3.70256
40.4165,-3.70256
40.4165,-3.70256
40.4165,-3.70256
40.4165,-3.70256
40.4165,-3.70256
40.4165,-3.70256
40.4165,-3.70256
40.4165,-3.70256
6.924,158.162
-34,23
14.79654,120.27669
39.76,-98.5
38,46.75
40.76078,-111.89105
-8.6919,119.8299
39.25024,-111.75103
37.8255,-115.61031
28.044,-82.37803
39.25024,-111.75103
39.25024,-111.75103
41.06022,-111.97105
39.76,-98.5
39.76,-98.5
18.70631,-70.51137
17.65667,121.73333
45.30583,2.3275
39.25024,-111.75103
25.31651,55.3796
39.76,-98.5
22.5,-100.5
-14.60485,-57.65625
-14.60485,-57.65625
22.5,-100.5
22.5,-100.5
-14.60485,-57.65625
35.73478,-84.31187
6.924,158.162
46.98567,8.27237
46.98567,8.27237
11.13,122.53
14.79654,120.27669
-14.60485,-57.65625
14.79654,120.27669
-14.60485,-57.65625
14.79654,120.27669
-14.60485,-57.65625
45.07608,-93.33273
41.99998,43.4999
22.5,-100.5
41.99998,43.4999
6.924,158.162
-42,174
-14.60485,-57.65625
-14.60485,-57.65625
46.98567,8.27237
-14.60485,-57.65625
46.98567,8.27237
6.924,158.162
46.98567,8.27237
38.89511,-77.03637
5.41667,-55.33333
44.31062,-69.77949
46.98567,8.27237
46.98567,8.27237
38.89511,-77.03637
42.00027,-93.50049
38.89511,-77.03637
47.76534,-68.52121
41.25861,-95.93779
46.98567,8.27237
18.24829,-66.49989
46.98567,8.27237
6.924,158.162
38.89511,-77.03637
-14.60485,-57.65625
38.89511,-77.03637
-14.60485,-57.65625
46.98567,8.27237
18.24829,-66.49989
44.00013,-120.50139
46.98567,8.27237
46.98567,8.27237
46.98567,8.27237
46.98567,8.27237
46.98567,8.27237
46.98567,8.27237
53.99983,-125.0032
14.79654,120.27669
-14.60485,-57.65625
14.79654,120.27669
35.74158,-91.56972
44.00034,-72.74983
44.00034,-72.74983
44.00034,-72.74983
44.00034,-72.74983
44.00034,-72.74983
44.00034,-72.74983
44.00034,-72.74983
44.00034,-72.74983
44.00034,-72.74983
44.00034,-72.74983
44.00034,-72.74983
44.00034,-72.74983
44.00034,-72.74983
44.00034,-72.74983
44.00034,-72.74983
44.00034,-72.74983
44.00034,-72.74983
44.00034,-72.74983
44.00034,-72.74983
44.00034,-72.74983
44.00034,-72.74983
44.00034,-72.74983
38.50038,-80.50009
29.98662,31.43867
39.97314,-75.74845
39.97314,-75.74845
39.97314,-75.74845
39.97314,-75.74845
39.97314,-75.74845
39.97314,-75.74845
39.97314,-75.74845
39.97314,-75.74845
39.03793,-79.79692
38.50038,-80.50009
14.79654,120.27669
-42,174
45.07608,-93.33273
14.16667,121.33333
14.16667,121.33333
-14.60485,-57.65625
47.8691,-120.61891
53.8,-9.51667
47.50012,-120.50147
47.14445,-123.82847
39.76,-98.5
26.64757,-80.43651
60.10867,-113.64258
60.10867,-113.64258
47.50012,-120.50147
47.50012,-120.50147
-2.5,23.5
47.50012,-120.50147
14.79654,120.27669
47.50012,-120.50147
31.25044,-99.25061
47.50012,-120.50147
47.50012,-120.50147
47.50012,-120.50147
47.50012,-120.50147
47.50012,-120.50147
42.41388,143.30584
-2.5,23.5
47.50012,-120.50147
47.25288,-122.44429
47.50012,-120.50147
35.90268,-96.37094
35.75035,-86.25027
54.75844,-2.69531
39.25021,-116.75119
39.25021,-116.75119
39.25021,-116.75119
44.00034,-72.74983
39.25021,-116.75119
34.00043,-81.00009
22.5,-100.5
10,32.7
22.5,-100.5
42.59509,-71.01616
51.13867,8.11458
-29,24
47.50012,-120.50147
60.41667,-151.25056
39.06387,-108.55065
31.25044,-99.25061
7.47,134.601
18.13333,-76.53333
21.15152,-157.09748
44.00013,-120.50139
28.75054,-82.5001
22.5,-100.5
8.33333,-13.11667
47.00025,-109.75102
60.41667,-151.25056
51.13867,8.11458
-42,174
39.76,-98.5
-42,174
39.76,-98.5
20.75028,-156.50028
47.60621,-122.33207
18.34829,-64.98348
64.83778,-147.71639
22.5,-100.5
36.5,127.75
36.81904,-76.27494
51.13867,8.11458
60.75056,-160.50056
60.41667,-151.25056
18.24829,-66.49989
34.19801,-118.26102
60.41667,-151.25056
36.5,127.75
38.34982,-81.63262
-12.23333,44.44553
18.34829,-64.98348
39.76,-98.5
42.59509,-71.01616
10,32.7
49.75,6.16667
5.65003,-0.2361
20.38583,-72.33398
18.34829,-64.98348
21.30694,-157.85833
41.9001,-71.08977
60.41667,-151.25056
8.33333,-13.11667
34.19801,-118.26102
34.19801,-118.26102
53.82694,-166.20806
64.50111,-165.40639
39.80836,-76.16596
40.84838,-75.29171
10,32.7
34.00043,-81.00009
61.21806,-149.90028
34.00043,-81.00009
40.84838,-75.29171
34.00043,-81.00009
-25.24979,131.00862
45.90236,-112.65672
60.41667,-151.25056
31.25044,-99.25061
67.72694,-164.53333
40.84838,-75.29171
45.90236,-112.65672
31.25044,-99.25061
46.55128,-123.77886
34.00043,-81.00009
14.79654,120.27669
34.00043,-81.00009
40.73768,-93.78628
60.41667,-151.25056
34.00043,-81.00009
34.54002,-112.4685
-25.24979,131.00862
35.50069,-80.00032
-25.24979,131.00862
51.13867,8.11458
66.93125,-156.89458
34.00043,-81.00009
40,127
34.00043,-81.00009
66.60389,-160.00694
-42.45658,171.22081
45.90236,-112.65672
27.37265,94.27949
-42.45658,171.22081
34.00043,-81.00009
61.54194,-149.22972
31.25044,-99.25061
34.00043,-81.00009
18.24829,-66.49989
39.80836,-76.16596
34.00043,-81.00009
39.80836,-76.16596
45.90236,-112.65672
-25.24979,131.00862
22.5,-100.5
