0	1	2
06291	0	0.011235955056179775
06291	1	0.2
06291	2	0.4
06291	3	1.9230769230769231
06291	4	0.04225352112676056
06291	5	0.06818181818181818
06291	6	0.02631578947368421
06291	7	0.02654867256637168
06291	8	0.03636363636363636
06291	9	0.047619047619047616
06291	10	0.026785714285714284
06291	11	1.0
06291	12	0.007352941176470588
06291	13	0.014492753623188406
06291	14	1.0
06291	15	0.02702702702702703
06291	16	1.0
06291	17	1.0
06291	18	0.14285714285714285
06291	19	1.0
06291	20	0.06349206349206349
06291	21	0.06557377049180328
06291	22	0.09375
06291	23	0.07894736842105263
06291	24	0.08823529411764706
06291	25	0.005555555555555556
06291	26	0.011857707509881422
06291	27	0.03614457831325301
06291	28	1.0
06291	29	0.04938271604938271
06291	30	0.06779661016949153
06291	31	1.0
06291	32	1.0
06291	33	0.0297029702970297
06291	34	0.0547945205479452
06291	35	0.1
06291	36	0.3287671232876712
06291	37	0.3013698630136986
06291	38	0.375
06291	39	0.037383177570093455
06291	40	0.5666666666666667
06291	41	1.0
06291	42	1.0
06291	43	1.0
06291	44	1.0
06291	45	1.0
06291	46	1.0
06291	47	1.0
06291	48	2.125
06291	49	1.0
06291	50	0.045454545454545456
06291	51	1.0
06291	52	1.0
06291	53	1.0
06291	54	1.0
06291	55	1.0
06291	56	1.0
06291	57	1.0
06291	58	1.0
06291	59	1.0
06291	60	1.0
06291	61	1.0
06291	62	1.0
06291	63	1.0
06291	64	1.0
06291	65	1.0
06291	66	1.0
06291	67	1.0
06291	68	0.14285714285714285
06291	69	0.0036231884057971015
06291	70	0.005813953488372093
06291	71	0.03333333333333333
06291	72	1.0
06291	73	1.0
06291	74	0.125
06291	75	0.017241379310344827
06291	76	0.015748031496062992
06291	77	0.03333333333333333
06291	78	1.0
06291	79	1.0
06291	80	1.0
06291	81	0.125
06291	82	0.011494252873563218
06291	83	0.010526315789473684
06291	84	0.015151515151515152
06291	85	0.014705882352941176
06291	86	0.009009009009009009
06291	87	0.016129032258064516
06291	88	0.02
06291	89	0.11363636363636363
06291	90	0.6052631578947368
06291	91	0.6187050359712231
06291	92	0.010309278350515464
06291	93	0.03333333333333333
06291	94	1.0
06291	95	1.0
06291	96	0.125
06291	97	0.03333333333333333
06291	98	1.0
06291	99	1.0
06291	100	1.0
06291	101	0.125
06291	102	0.40540540540540543
06291	103	1.0
06291	104	1.0
06291	105	1.0
06291	106	1.0
06291	107	1.0
06291	108	0.42857142857142855
06291	109	0.3333333333333333
06291	110	0.09523809523809523
06291	111	0.1875
06291	112	0.17391304347826086
06291	113	1.0
06291	114	0.16666666666666666
06291	115	1.064516129032258
06291	116	0.5522388059701493
06291	117	1.0
06291	118	6.6
06291	119	1.434782608695652
06291	120	0.5
06291	121	0.6666666666666666
06291	122	1.1333333333333333
06291	123	0.6
06291	124	1.0
06291	125	0.22727272727272727
06291	126	1.0
06291	127	1.0
06291	128	1.0
06291	129	0.35714285714285715
06291	130	1.85
06291	131	0.3333333333333333
06291	132	1.0
06291	133	1.5769230769230769
06291	134	0.26285714285714284
06291	135	8.2
06291	136	6.833333333333333
06291	137	1.0
06291	138	1.0
06291	139	1.0
06291	140	1.0
06291	141	1.0
06291	142	1.0
06291	143	1.0
06291	144	1.0
06291	145	1.0
06291	146	1.0
06291	147	1.0
06291	148	5.857142857142857
06291	149	0.803921568627451
06291	150	0.5921052631578947
06291	151	13.666666666666666
06291	152	7.4
06291	153	2.0555555555555554
06291	154	1.0
06291	155	1.0
06291	156	7.4
06291	157	1.0
06291	158	0.8
06291	159	0.6
06291	160	1.0
06291	161	0.14285714285714285
06291	162	0.25
06291	163	0.5
06291	164	0.029411764705882353
06291	165	0.3333333333333333
06291	166	0.023255813953488372
06291	167	0.2653061224489796
06291	168	0.30357142857142855
06291	169	0.21
06291	170	5.666666666666667
06291	171	2.6
06291	172	0.044444444444444446
06291	173	1.0
06291	174	1.0
06291	175	1.4
06291	176	1.25
06291	177	1.0
06291	178	0.125
06291	179	1.0
06291	180	7.25
06291	181	0.4966887417218543
06291	182	1.096774193548387
06291	183	17.75
06291	184	1.0740740740740742
06291	185	0.43333333333333335
06291	186	7.2
06291	187	0.6944444444444444
06291	188	0.29107981220657275
06291	189	5.8
06291	190	1.565217391304348
06291	191	20.6
06291	192	6.4
06291	193	5.8
06291	194	0.7317073170731707
06291	195	0.2777777777777778
06291	196	1.8906882591093117
06291	197	4.551724137931035
06291	198	1.5416666666666667
06291	199	1.0
06291	200	1.0
06291	201	1.0
06291	202	0.5284090909090909
06291	203	0.28901734104046245
06291	204	0.3877805486284289
06291	205	0.8
06291	206	1.0
06291	207	1.0
06291	208	1.0
06291	209	0.125
06291	210	1.0
06291	211	7.25
06291	212	0.47468354430379744
06291	213	1.096774193548387
06291	214	17.75
06291	215	1.1111111111111112
06291	216	0.43333333333333335
06291	217	7.2
06291	218	0.6944444444444444
06291	219	0.20105820105820105
06291	220	5.8
06291	221	1.565217391304348
06291	222	22.2
06291	223	6.4
06291	224	5.8
06291	225	0.7317073170731707
06291	226	0.2777777777777778
06291	227	0.16560509554140126
06291	228	1.9430051813471503
06291	229	0.8434903047091413
06291	230	0.7286245353159851
06291	231	1.5416666666666667
06291	232	1.0
06291	233	1.0
06291	234	1.0
06291	235	0.6118421052631579
06291	236	0.33557046979865773
06291	237	0.4055727554179567
06291	238	0.8
06291	239	1.0
06291	240	1.0
06291	241	1.0
06291	242	0.125
06291	243	1.0
06291	244	7.25
06291	245	0.5555555555555556
06291	246	1.096774193548387
06291	247	17.75
06291	248	1.1111111111111112
06291	249	0.43333333333333335
06291	250	7.2
06291	251	0.6944444444444444
06291	252	0.1793478260869565
06291	253	5.8
06291	254	1.565217391304348
06291	255	18.8
06291	256	6.4
06291	257	5.8
06291	258	0.7317073170731707
06291	259	0.2777777777777778
06291	260	38.2
06291	261	0.06909090909090909
06291	262	0.6252220248667851
06291	263	0.5591182364729459
06291	264	1.5416666666666667
06291	265	1.0
06291	266	1.0
06291	267	1.0
