name,count
1PF86Em,694.5172177
1qaFgak,335.0043263
1PF8zWW,257.3684923
1pK5srK,174.5279682
1qaFgqE,190.8713216
21T4B42,596.7216291
1PF8BOy,20.62014849
1pK5DmT,1542.016361
1PF8C5f,161.8820188
1LZGqiI,607.2258818
1qaFgak,335.0043263
1PF8zWW,257.3684923
1pK5srK,174.5279682
1qaFgqE,190.8713216
21T4B42,596.7216291
1PF8BOy,20.62014849
1pK5DmT,1542.016361
1PF8C5f,161.8820188
1LZGqiI,607.2258818
1LZGrmI,68.56947643
1PF8zWW,257.3684923
1pK5srK,174.5279682
1qaFgqE,190.8713216
21T4B42,596.7216291
1PF8BOy,20.62014849
1pK5DmT,1542.016361
1PF8C5f,161.8820188
1LZGqiI,607.2258818
1LZGrmI,68.56947643
1LZGCP6,78.12659182
1pK5srK,174.5279682
1qaFgqE,190.8713216
21T4B42,596.7216291
1PF8BOy,20.62014849
1pK5DmT,1542.016361
1PF8C5f,161.8820188
1LZGqiI,607.2258818
1LZGrmI,68.56947643
1LZGCP6,78.12659182
1LZGC1x,55.80620665
1qaFgqE,190.8713216
21T4B42,596.7216291
1PF8BOy,20.62014849
1pK5DmT,1542.016361
1PF8C5f,161.8820188
1LZGqiI,607.2258818
1LZGrmI,68.56947643
1LZGCP6,78.12659182
1LZGC1x,55.80620665
1pK5IHg,114.1892052
21T4B42,596.7216291
1PF8BOy,20.62014849
1pK5DmT,1542.016361
1PF8C5f,161.8820188
1LZGqiI,607.2258818
1LZGrmI,68.56947643
1LZGCP6,78.12659182
1LZGC1x,55.80620665
1pK5IHg,114.1892052
1LZGGy9,111.2830486
1PF8BOy,20.62014849
1pK5DmT,1542.016361
1PF8C5f,161.8820188
1LZGqiI,607.2258818
1LZGrmI,68.56947643
1LZGCP6,78.12659182
1LZGC1x,55.80620665
1pK5IHg,114.1892052
1LZGGy9,111.2830486
1LZGsHs,233.921414
1pK5DmT,1542.016361
1PF8C5f,161.8820188
1LZGqiI,607.2258818
1LZGrmI,68.56947643
1LZGCP6,78.12659182
1LZGC1x,55.80620665
1pK5IHg,114.1892052
1LZGGy9,111.2830486
1LZGsHs,233.921414
1LZGIpS,6.356107661
1PF8C5f,161.8820188
1LZGqiI,607.2258818
1LZGrmI,68.56947643
1LZGCP6,78.12659182
1LZGC1x,55.80620665
1pK5IHg,114.1892052
1LZGGy9,111.2830486
1LZGsHs,233.921414
1LZGIpS,6.356107661
1pK5Eaz,0
1LZGqiI,607.2258818
1LZGrmI,68.56947643
1LZGCP6,78.12659182
1LZGC1x,55.80620665
1pK5IHg,114.1892052
1LZGGy9,111.2830486
1LZGsHs,233.921414
1LZGIpS,6.356107661
1pK5Eaz,0
1LZGXBf,52.25360468
1LZGrmI,68.56947643
1LZGCP6,78.12659182
1LZGC1x,55.80620665
1pK5IHg,114.1892052
1LZGGy9,111.2830486
1LZGsHs,233.921414
1LZGIpS,6.356107661
1pK5Eaz,0
1LZGXBf,52.25360468
1LZGRJW,46.41973153
1LZGCP6,78.12659182
1LZGC1x,55.80620665
1pK5IHg,114.1892052
1LZGGy9,111.2830486
1LZGsHs,233.921414
1LZGIpS,6.356107661
1pK5Eaz,0
1LZGXBf,52.25360468
1LZGRJW,46.41973153
1LZGQWt,12.10071213
1LZGC1x,55.80620665
1pK5IHg,114.1892052
1LZGGy9,111.2830486
1LZGsHs,233.921414
1LZGIpS,6.356107661
1pK5Eaz,0
1LZGXBf,52.25360468
1LZGRJW,46.41973153
1LZGQWt,12.10071213
1LZGUWc,57.86785942
1pK5IHg,114.1892052
1LZGGy9,111.2830486
1LZGsHs,233.921414
1LZGIpS,6.356107661
1pK5Eaz,0
1LZGXBf,52.25360468
1LZGRJW,46.41973153
1LZGQWt,12.10071213
1LZGUWc,57.86785942
1LZGNdk,178.9312573
1LZGGy9,111.2830486
1LZGsHs,233.921414
1LZGIpS,6.356107661
1pK5Eaz,0
1LZGXBf,52.25360468
1LZGRJW,46.41973153
1LZGQWt,12.10071213
1LZGUWc,57.86785942
1LZGNdk,178.9312573
1LZGYFj,92.89975137
1LZGsHs,233.921414
1LZGIpS,6.356107661
1pK5Eaz,0
1LZGXBf,52.25360468
1LZGRJW,46.41973153
1LZGQWt,12.10071213
1LZGUWc,57.86785942
1LZGNdk,178.9312573
1LZGYFj,92.89975137
1LZGWgD,112.0783593
1LZGIpS,6.356107661
1pK5Eaz,0
1LZGXBf,52.25360468
1LZGRJW,46.41973153
1LZGQWt,12.10071213
1LZGUWc,57.86785942
1LZGNdk,178.9312573
1LZGYFj,92.89975137
1LZGWgD,112.0783593
1LZGZcg,93.06654761
1pK5Eaz,0
1LZGXBf,52.25360468
1LZGRJW,46.41973153
1LZGQWt,12.10071213
1LZGUWc,57.86785942
1LZGNdk,178.9312573
1LZGYFj,92.89975137
1LZGWgD,112.0783593
1LZGZcg,93.06654761
1RqoON7,0
1LZGXBf,52.25360468
1LZGRJW,46.41973153
1LZGQWt,12.10071213
1LZGUWc,57.86785942
